지점,지점명,일시,기온(°C),강수량(mm),습도(%),적설(cm)
119,수원,2025-06-15 03:00,19.5,,87,
119,수원,2025-06-15 04:00,19.5,,88,
119,수원,2025-06-15 05:00,18.9,,90,
119,수원,2025-06-15 06:00,19.4,,90,
119,수원,2025-06-15 07:00,21.4,,82,
119,수원,2025-06-15 08:00,22.9,,75,
119,수원,2025-06-15 09:00,24.7,,69,
119,수원,2025-06-15 10:00,25.8,,63,
119,수원,2025-06-15 11:00,27.4,,55,
119,수원,2025-06-15 12:00,28.6,,54,
119,수원,2025-06-15 13:00,30.2,,47,
119,수원,2025-06-15 14:00,30.9,,46,
119,수원,2025-06-15 15:00,30.4,,50,
119,수원,2025-06-15 16:00,29.7,,55,
119,수원,2025-06-15 17:00,28.6,,61,
119,수원,2025-06-15 18:00,28.5,,64,
119,수원,2025-06-15 19:00,26.8,,73,
119,수원,2025-06-15 20:00,26.1,,77,
119,수원,2025-06-15 21:00,25.2,0,80,
119,수원,2025-06-15 22:00,24.4,0,86,
119,수원,2025-06-15 23:00,23.6,.7,92,
119,수원,2025-06-16 00:00,22.4,2.7,94,
119,수원,2025-06-16 01:00,22.1,1.8,94,
119,수원,2025-06-16 02:00,21.9,3.3,94,
119,수원,2025-06-16 03:00,22.1,.3,93,
119,수원,2025-06-16 04:00,22,.2,92,
119,수원,2025-06-16 05:00,21.8,0,93,
119,수원,2025-06-16 06:00,21.6,0,94,
119,수원,2025-06-16 07:00,21.8,.1,94,
119,수원,2025-06-16 08:00,22.2,0,92,
119,수원,2025-06-16 09:00,22.4,,89,
119,수원,2025-06-16 10:00,23.2,,87,
119,수원,2025-06-16 11:00,23.6,,86,
119,수원,2025-06-16 12:00,24.4,,83,
119,수원,2025-06-16 13:00,23.6,4.6,88,
119,수원,2025-06-16 14:00,23.5,1.4,84,
119,수원,2025-06-16 15:00,24.6,,80,
119,수원,2025-06-16 16:00,24.9,,77,
119,수원,2025-06-16 17:00,25.1,,74,
119,수원,2025-06-16 18:00,24.3,,74,
119,수원,2025-06-16 19:00,23.2,,77,
119,수원,2025-06-16 20:00,22.5,,81,
119,수원,2025-06-16 21:00,21.9,,82,
119,수원,2025-06-16 22:00,21.7,,83,
119,수원,2025-06-16 23:00,21.5,,83,
119,수원,2025-06-17 00:00,21.1,.2,87,
119,수원,2025-06-17 01:00,20.2,.1,79,
119,수원,2025-06-17 02:00,20.1,,86,
119,수원,2025-06-17 03:00,20.4,,89,
119,수원,2025-06-17 04:00,20.5,,90,
119,수원,2025-06-17 05:00,20.9,,91,
119,수원,2025-06-17 06:00,21.3,,90,
119,수원,2025-06-17 07:00,21.9,,87,
119,수원,2025-06-17 08:00,22.3,,84,
119,수원,2025-06-17 09:00,23.3,,80,
119,수원,2025-06-17 10:00,24.6,,76,
119,수원,2025-06-17 11:00,25.5,,72,
119,수원,2025-06-17 12:00,25.4,,70,
119,수원,2025-06-17 13:00,26.7,,63,
119,수원,2025-06-17 14:00,26.8,,62,
119,수원,2025-06-17 15:00,27,,64,
119,수원,2025-06-17 16:00,27.5,,58,
119,수원,2025-06-17 17:00,28.2,,55,
119,수원,2025-06-17 18:00,27,,66,
119,수원,2025-06-17 19:00,25.3,,73,
119,수원,2025-06-17 20:00,23.5,,82,
119,수원,2025-06-17 21:00,22.5,,86,
119,수원,2025-06-17 22:00,22,,88,
119,수원,2025-06-17 23:00,21.6,,89,
119,수원,2025-06-18 00:00,21.1,,91,
119,수원,2025-06-18 01:00,20.6,,92,
119,수원,2025-06-18 02:00,20.9,,93,
119,수원,2025-06-18 03:00,20.5,,92,
119,수원,2025-06-18 04:00,20.5,,92,
119,수원,2025-06-18 05:00,20.6,,89,
119,수원,2025-06-18 06:00,20.3,,89,
119,수원,2025-06-18 07:00,20.4,,85,
119,수원,2025-06-18 08:00,21.3,,80,
119,수원,2025-06-18 09:00,23.3,,72,
119,수원,2025-06-18 10:00,24.5,,66,
119,수원,2025-06-18 11:00,26.4,,60,
119,수원,2025-06-18 12:00,27.5,,53,
119,수원,2025-06-18 13:00,28.9,,44,
119,수원,2025-06-18 14:00,29.1,,44,
119,수원,2025-06-18 15:00,29.7,,44,
119,수원,2025-06-18 16:00,29.7,,46,
119,수원,2025-06-18 17:00,29.2,,49,
119,수원,2025-06-18 18:00,28.4,,54,
119,수원,2025-06-18 19:00,26.6,,61,
119,수원,2025-06-18 20:00,24.9,,70,
119,수원,2025-06-18 21:00,23.7,,73,
119,수원,2025-06-18 22:00,22.9,,74,
119,수원,2025-06-18 23:00,22.2,,74,
119,수원,2025-06-19 00:00,21.4,,80,
119,수원,2025-06-19 01:00,21.1,,78,
119,수원,2025-06-19 02:00,20.2,,81,
119,수원,2025-06-19 03:00,19.6,,84,
119,수원,2025-06-19 04:00,19.2,,89,
119,수원,2025-06-19 05:00,18.9,,89,
119,수원,2025-06-19 06:00,19.2,,88,
119,수원,2025-06-19 07:00,22.2,,74,
119,수원,2025-06-19 08:00,24.7,,65,
119,수원,2025-06-19 09:00,26.6,,53,
119,수원,2025-06-19 10:00,28.2,,51,
119,수원,2025-06-19 11:00,28.7,,53,
119,수원,2025-06-19 12:00,30.7,,48,
119,수원,2025-06-19 13:00,31.6,,45,
119,수원,2025-06-19 14:00,32,,35,
119,수원,2025-06-19 15:00,30.7,,47,
119,수원,2025-06-19 16:00,30.8,,50,
119,수원,2025-06-19 17:00,30.7,,50,
119,수원,2025-06-19 18:00,30.8,,49,
119,수원,2025-06-19 19:00,30.5,,51,
119,수원,2025-06-19 20:00,29.4,0,61,
119,수원,2025-06-19 21:00,29,0,63,
119,수원,2025-06-19 22:00,28.3,,68,
119,수원,2025-06-19 23:00,28,,68,
119,수원,2025-06-20 00:00,27.7,,68,
119,수원,2025-06-20 01:00,25.1,.7,85,
